course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject,date,free_or_paid,free_beginner_courses,revenue
103662,Introduction to Lead Guitar,https://www.udemy.com/introduction-to-lead-guitar/,$20.00,245,8,34,Beginner Level,0.02,1.5,2013-11-26T23:41:44Z,Musical Instruments,2013-11-26,paid,Not free beginner,"$4,900.00"
469678,Wordpress on AWS: The Easy way to AWS for Free Fast hosting,https://www.udemy.com/wordpress-on-aws-the-easy-way-to-aws-for-free-fast-hosting-amazon/,$40.00,245,23,36,All Levels,0.55,1,2015-08-11T23:47:57Z,Web Development,2015-08-11,paid,Not free beginner,"$9,800.00"
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,$195.00,24481,2347,174,All Levels,0.37,10,2016-01-21T01:38:48Z,Business Finance,2016-01-21,paid,Not free beginner,"$4,773,795.00"
514844,Contabilidad Financiera: Conoce el Lenguaje de los Negocios.,https://www.udemy.com/curso-de-contabilidad-online-contabilidad-financiera/,$20.00,244,13,21,All Levels,0.2,2.5,2015-06-16T16:31:01Z,Business Finance,2015-06-16,paid,Not free beginner,"$4,880.00"
146450,A Year's Worth of Piano Lessons in One Weekend,https://www.udemy.com/a-years-worth-of-piano-lessons-in-one-weekend/,$20.00,244,25,33,Beginner Level,0.02,6,2014-04-30T19:16:10Z,Musical Instruments,2014-04-30,paid,Not free beginner,"$4,880.00"
1270392,"The Complete JavaScript, HTML and CSS Tutorial For Beginners",https://www.udemy.com/the-complete-javascript-html-and-css-tutorial-for-beginners/,$35.00,244,44,21,Beginner Level,0.3,3,2017-06-29T16:13:18Z,Web Development,2017-06-29,paid,Not free beginner,"$8,540.00"
812616,Save on Your Taxes,https://www.udemy.com/save-on-your-taxes/,$20.00,2437,12,23,Beginner Level,0.87,1.5,2016-11-16T17:38:38Z,Business Finance,2016-11-16,paid,Not free beginner,"$48,740.00"
856968,How to Make a Wordpress Website 2017,https://www.udemy.com/how-to-wordpress/,$0.00,2437,137,10,Beginner Level,0.96,0.5666666667,2016-06-07T00:02:04Z,Web Development,2016-06-07,free,Free beginner,$0.00
977470,The Complete HMTL5 Course - Go From Beginner To Advanced!,https://www.udemy.com/complete-hmtl5-course/,$95.00,2430,15,36,All Levels,0.96,2,2016-10-13T21:24:51Z,Web Development,2016-10-13,paid,Not free beginner,"$230,850.00"
751230,Illustrator CC: Design and drawing from scratch to expert!,https://www.udemy.com/illustrator-cc-design-and-drawing-from-scratch-to-expert/,$150.00,2427,99,97,All Levels,0.14,11,2016-12-15T15:18:47Z,Graphic Design,2016-12-15,paid,Not free beginner,"$364,050.00"
861444,Design your own Social Media Logo Icons in Adobe Illustrator,https://www.udemy.com/design-social-media-logo-icons-in-adobe-illustrator/,$50.00,2424,29,15,All Levels,0.84,1.5,2016-06-05T15:11:49Z,Graphic Design,2016-06-05,paid,Not free beginner,"$121,200.00"
679158,Build your own Beautiful Blog in WordPress + SEO,https://www.udemy.com/learn-to-create-an-amazing-wordpress-blog-start-to-finish/,$200.00,2421,6,28,Beginner Level,0.96,3,2015-11-25T18:00:35Z,Web Development,2015-11-25,paid,Not free beginner,"$484,200.00"
935108,Adobe - Create a professional logo step-by-step (Beauty),https://www.udemy.com/adobe-create-a-professional-logo-step-by-step-beauty/,$20.00,2420,27,21,All Levels,0.93,1.5,2016-08-27T23:43:41Z,Graphic Design,2016-08-27,paid,Not free beginner,"$48,400.00"
908664,Word Swag : Create Stunning Images with the Word Swag App,https://www.udemy.com/word-swag/,$100.00,2416,19,14,All Levels,0.96,1,2016-08-09T17:56:53Z,Graphic Design,2016-08-09,paid,Not free beginner,"$241,600.00"
422546,Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,https://www.udemy.com/use-circle-of-5ths-to-play-a-song-in-12-keys-in-12-days/,$95.00,2415,16,115,All Levels,0.11,2.5,2015-02-17T18:46:37Z,Musical Instruments,2015-02-17,paid,Not free beginner,"$229,425.00"
945320,Javascript Intermediate level 2 - Mastering Functions,https://www.udemy.com/javascript-intermediate-mastering-functions/,$100.00,2412,116,28,All Levels,0.96,2.5,2016-08-30T18:20:56Z,Web Development,2016-08-30,paid,Not free beginner,"$241,200.00"
662318,Learn Quickbooks to maintain books properly,https://www.udemy.com/learn-quickbooks-to-maintain-books-properly/,$20.00,241,5,26,All Levels,0.2,2.5,2015-11-09T20:36:53Z,Business Finance,2015-11-09,paid,Not free beginner,"$4,820.00"
436210,The Pro Ruby on Rails Starter,https://www.udemy.com/pro-rubyonrails-starter/,$45.00,2409,90,19,All Levels,0.96,2.5,2015-03-04T18:37:14Z,Web Development,2015-03-04,paid,Not free beginner,"$108,405.00"
313484,Laravel 4 try and enjoy php coding,https://www.udemy.com/laravel-4-try-and-enjoy-php-coding/,$20.00,2402,26,23,Beginner Level,0.96,2,2014-10-20T10:48:09Z,Web Development,2014-10-20,paid,Not free beginner,"$48,040.00"
1110756,HTML Tutorials : HTML Code for Website Creating,https://www.udemy.com/html-code-for-website/,$20.00,2401,15,27,Beginner Level,0.96,3,2017-02-22T17:36:27Z,Web Development,2017-02-22,paid,Not free beginner,"$48,020.00"
1008246,Modern E-Commerce Store In php & mysqli With Bootstrap,https://www.udemy.com/modern-e-commerce-store-in-php-mysqli-with-bootstrap/,$50.00,240,45,358,All Levels,0.7,66.5,2016-12-09T16:18:49Z,Web Development,2016-12-09,paid,Not free beginner,"$12,000.00"
1141614,The Fun and Effective Piano Course,https://www.udemy.com/the-serious-piano-course/,$30.00,24,2,38,All Levels,0.15,3.5,2017-04-24T16:09:35Z,Musical Instruments,2017-04-24,paid,Not free beginner,$720.00
568322,How to Play Dan Fogelberg Songs on Guitar,https://www.udemy.com/how-to-play-dan-fogelberg-songs-on-guitar/,$25.00,24,1,49,All Levels,0.15,4.5,2016-03-29T16:57:54Z,Musical Instruments,2016-03-29,paid,Not free beginner,$600.00
742392,Conviértete en un experto de photoshop cc naked series,https://www.udemy.com/photoshop-cc-naked-series/,$30.00,24,5,122,All Levels,0.79,12,2016-01-29T02:54:19Z,Graphic Design,2016-01-29,paid,Not free beginner,$720.00
1019276,The Ultimate Beginner's Guide to Django,https://www.udemy.com/the-ultimate-beginners-guide-to-django-python-web-dev-website/,$200.00,2390,497,82,All Levels,0.96,9,2016-12-11T22:07:39Z,Web Development,2016-12-11,paid,Not free beginner,"$478,000.00"
